округ;код ученика;любимый предмет;балл
ЮЗ;Ученик 814;физика;344
СЗ;Ученик 815;обществознание;499
Ц;Ученик 816;английский язык;723
С;Ученик 817;география;768
ЮВ;Ученик 818;обществознание;746
Ю;Ученик 819;физкультура;256
ЮЗ;Ученик 820;русский язык;233
СВ;Ученик 821;русский язык;347
Ю;Ученик 822;английский язык;364
В;Ученик 823;информатика;418
С;Ученик 824;английский язык;592
В;Ученик 825;литература;340
З;Ученик 826;биология;290
СЗ;Ученик 827;ИЗО;260
З;Ученик 828;обществознание;688
Ц;Ученик 829;история;465
СЗ;Ученик 830;русский язык;389
В;Ученик 831;обществознание;607
СЗ;Ученик 832;информатика;770
З;Ученик 833;обществознание;467
СВ;Ученик 834;английский язык;567
З;Ученик 835;история;468
Ц;Ученик 836;история;496
СВ;Ученик 837;обществознание;578
ЮЗ;Ученик 838;литература;288
СВ;Ученик 839;русский язык;645
Ю;Ученик 840;ИЗО;529
З;Ученик 841;математика;657
В;Ученик 842;химия;567
Ю;Ученик 843;обществознание;446
СВ;Ученик 844;обществознание;768
СЗ;Ученик 845;английский язык;488
С;Ученик 846;география;507
ЮЗ;Ученик 847;русский язык;206
Ц;Ученик 848;обществознание;545
В;Ученик 849;обществознание;603
СВ;Ученик 850;английский язык;578
СЗ;Ученик 851;русский язык;503
С;Ученик 852;физика;720
Ю;Ученик 853;биология;535
В;Ученик 854;история;214
СВ;Ученик 855;английский язык;754
Ц;Ученик 856;история;588
ЮЗ;Ученик 857;обществознание;714
В;Ученик 858;английский язык;268
В;Ученик 859;история;572
Ц;Ученик 860;история;680
ЮВ;Ученик 861;биология;559
ЮЗ;Ученик 862;английский язык;556
Ю;Ученик 863;физика;727
ЮЗ;Ученик 864;математика;321
СВ;Ученик 865;обществознание;274
СВ;Ученик 866;обществознание;348
ЮЗ;Ученик 867;английский язык;359
СВ;Ученик 868;физкультура;631
В;Ученик 869;французский язык;649
ЮВ;Ученик 870;физика;782
СВ;Ученик 871;английский язык;643
ЮЗ;Ученик 872;обществознание;729
ЮЗ;Ученик 873;физика;481
ЮЗ;Ученик 874;физкультура;310
Ю;Ученик 875;физика;582
Ю;Ученик 876;информатика;333
В;Ученик 877;английский язык;778
СВ;Ученик 878;обществознание;751
Ц;Ученик 879;обществознание;747
ЗЕЛ;Ученик 880;физкультура;393
В;Ученик 881;история;431
З;Ученик 882;английский язык;233
ЮЗ;Ученик 883;обществознание;274
ЮЗ;Ученик 884;математика;658
Ю;Ученик 885;обществознание;284
СВ;Ученик 886;обществознание;366
СВ;Ученик 887;русский язык;450
ЮЗ;Ученик 888;математика;533
ЮВ;Ученик 889;математика;726
СВ;Ученик 890;русский язык;282
СВ;Ученик 891;обществознание;603
Ц;Ученик 892;физика;539
С;Ученик 893;физика;519
СЗ;Ученик 894;история;431
В;Ученик 895;обществознание;217
СВ;Ученик 896;английский язык;498
Ю;Ученик 897;география;764
С;Ученик 898;русский язык;282
З;Ученик 899;математика;525
С;Ученик 900;биология;626
ЮВ;Ученик 901;география;515
ЮВ;Ученик 902;биология;675
З;Ученик 903;физика;798
Ц;Ученик 904;английский язык;212
ЗЕЛ;Ученик 905;обществознание;285
С;Ученик 906;физика;548
Ю;Ученик 907;математика;668
З;Ученик 908;физкультура;360
С;Ученик 909;история;492
Ц;Ученик 910;обществознание;576
Ю;Ученик 911;математика;556
Ю;Ученик 912;английский язык;713
Ц;Ученик 913;английский язык;498
Ц;Ученик 914;английский язык;569
З;Ученик 915;немецкий язык;711
Ц;Ученик 916;физкультура;498
СВ;Ученик 917;русский язык;700
В;Ученик 918;география;369
СВ;Ученик 919;история;692
СЗ;Ученик 920;обществознание;740
С;Ученик 921;география;722
ЮВ;Ученик 922;литература;457
Ю;Ученик 923;русский язык;721
ЮЗ;Ученик 924;физкультура;215
Ю;Ученик 925;немецкий язык;428
Ц;Ученик 926;физкультура;620
ЮВ;Ученик 927;английский язык;692
СВ;Ученик 928;история;677
В;Ученик 929;математика;670
З;Ученик 930;русский язык;633
Ю;Ученик 931;история;563
ЮЗ;Ученик 932;английский язык;393
С;Ученик 933;английский язык;663
ЮЗ;Ученик 934;физкультура;241
СВ;Ученик 935;русский язык;766
ЮЗ;Ученик 936;английский язык;548
В;Ученик 937;ИЗО;352
Ц;Ученик 938;английский язык;297
Ю;Ученик 939;биология;703
СЗ;Ученик 940;математика;651
Ц;Ученик 941;история;754
СЗ;Ученик 942;русский язык;520
Ц;Ученик 943;химия;267
СВ;Ученик 944;русский язык;324
Ц;Ученик 945;физкультура;434
В;Ученик 946;русский язык;670
ЮВ;Ученик 947;русский язык;502
Ц;Ученик 948;обществознание;744
СЗ;Ученик 949;информатика;646
З;Ученик 950;химияГПД;295
СЗ;Ученик 951;информатика;395
Ю;Ученик 952;французский язык;413
В;Ученик 953;русский язык;634
СВ;Ученик 954;французский язык;291
С;Ученик 955;математика;776
ЮВ;Ученик 956;обществознание;375
Ц;Ученик 957;английский язык;347
С;Ученик 958;обществознание;757
ЮЗ;Ученик 959;информатика;707
СВ;Ученик 960;физкультура;525
Ц;Ученик 961;история;483
Ц;Ученик 962;русский язык;530
В;Ученик 963;обществознание;211
З;Ученик 964;русский язык;506
В;Ученик 965;обществознание;634
В;Ученик 966;физика;545
СВ;Ученик 967;обществознание;542
З;Ученик 968;ИЗО;747
ЮЗ;Ученик 969;химия;529
ЗЕЛ;Ученик 970;математика;639
Ю;Ученик 971;физкультура;652
З;Ученик 972;английский язык;437
ЮЗ;Ученик 973;информатика;491
ЮВ;Ученик 974;обществознание;793
СЗ;Ученик 975;химия;511
Ц;Ученик 976;история;355
Ю;Ученик 977;физкультура;219
С;Ученик 978;информатика;354
С;Ученик 979;русский язык;264
С;Ученик 980;биология;533
ЮЗ;Ученик 981;немецкий язык;487
Ю;Ученик 982;физика;535
З;Ученик 983;английский язык;425
З;Ученик 984;русский язык;629
Ю;Ученик 985;физкультура;333
ЮЗ;Ученик 986;история;499
С;Ученик 987;химия;731
С;Ученик 988;химия;270
Ц;Ученик 989;математика;401
СВ;Ученик 990;русский язык;593
ЗЕЛ;Ученик 991;физкультура;317
ЮЗ;Ученик 992;обществознание;457
СЗ;Ученик 993;математика;439
Ю;Ученик 994;география;346
З;Ученик 995;русский язык;389
З;Ученик 996;английский язык;762
З;Ученик 997;французский язык;682
СЗ;Ученик 998;английский язык;620
ЮЗ;Ученик 999;обществознание;722
ЮЗ;Ученик 1000;биология;731
